index,etc_pass,lon,lat,koppen,year_length_layer1,year_length_layer2,year_length_layer3,year_length_layer4,year_length_layer5,network
AMMA-CATCH#Banizoumbou.csv,1,2.6604,13.5325,4.0,2.0,,,,,AMMA-CATCH
AMMA-CATCH#Belefoungou-Mid.csv,1,1.70994,9.79506,3.0,3.0,3.0,3.0,3.0,3.0,AMMA-CATCH
AMMA-CATCH#Belefoungou-Top.csv,1,1.70994,9.78986,3.0,3.0,3.0,2.0,3.0,2.0,AMMA-CATCH
AMMA-CATCH#Nalohou-Mid.csv,1,1.6053,9.7453,3.0,1.0,2.0,3.0,3.0,,AMMA-CATCH
AMMA-CATCH#Nalohou-Top.csv,1,1.6058,9.74407,3.0,3.0,3.0,3.0,1.0,2.0,AMMA-CATCH
AMMA-CATCH#Tondikiboro.csv,1,2.6956,13.548,6.0,3.0,,3.0,3.0,3.0,AMMA-CATCH
AMMA-CATCH#Wankama.csv,0,2.632,13.6456,4.0,,,,,,AMMA-CATCH
ARM#Anthony.csv,0,-98.0969,37.2134,14.0,,,,,,ARM
ARM#Ashton.csv,0,-97.266,37.133,14.0,,,,,,ARM
ARM#Byron.csv,0,-98.285,36.881,14.0,,,,,,ARM
ARM#Coldwater.csv,1,-99.309,37.333,25.0,2.0,,2.0,2.0,2.0,ARM
ARM#Cordell.csv,0,-98.977,35.354,14.0,,,,,,ARM
ARM#Cyril.csv,0,-98.205,34.883,14.0,,,,,,ARM
ARM#Earlsboro.csv,0,-96.74,35.269,14.0,,,,,,ARM
ARM#ElkFalls.csv,1,-96.18,37.383,25.0,3.0,,2.0,2.0,2.0,ARM
ARM#ElReno.csv,0,-98.017,35.557,14.0,,,,,,ARM
ARM#Halstead.csv,1,-97.513,38.114,25.0,2.0,,2.0,2.0,2.0,ARM
ARM#Hillsboro.csv,0,-97.301,38.306,25.0,,,,,,ARM
ARM#Lamont-CF1.csv,0,-97.485,36.605,14.0,,,,,,ARM
ARM#Lamont-CF2.csv,0,-97.488,36.607,14.0,,,,,,ARM
ARM#Larned.csv,0,-99.316,38.202,25.0,,,,,,ARM
ARM#LeRoy.csv,0,-95.597,38.201,25.0,,,,,,ARM
ARM#MapleCity.csv,0,-97.7606,37.0694,14.0,,,,,,ARM
ARM#Marshall.csv,1,-97.5112,36.1166,14.0,2.0,2.0,2.0,2.0,1.0,ARM
ARM#Medford.csv,0,-97.8199,36.819,14.0,,,,,,ARM
ARM#Meeker.csv,0,-96.988,35.564,14.0,,,,,,ARM
ARM#Morris.csv,0,-95.856,35.688,14.0,,,,,,ARM
ARM#Morrison.csv,1,-97.06905,36.37354,14.0,2.0,2.0,2.0,2.0,1.0,ARM
ARM#Newkirk.csv,1,-97.082,36.926,14.0,2.0,1.0,2.0,2.0,1.0,ARM
ARM#Okmulgee.csv,1,-96.065,35.615,14.0,1.0,,,,,ARM
ARM#Omega.csv,0,-98.173,35.88,14.0,,,,,,ARM
ARM#Pawhuska.csv,0,-96.427,36.841,14.0,,,,,,ARM
ARM#Pawnee.csv,0,-96.76203,36.31937,14.0,,,,,,ARM
ARM#Plevna.csv,0,-98.329,37.953,25.0,,,,,,ARM
ARM#Ringwood.csv,0,-98.284,36.431,14.0,,,,,,ARM
ARM#Seminole.csv,1,-96.736,35.246,14.0,1.0,,1.0,1.0,1.0,ARM
ARM#Towanda.csv,0,-97.02,37.842,25.0,,,,,,ARM
ARM#Tryon.csv,1,-97.0695,35.8615,14.0,2.0,2.0,2.0,2.0,1.0,ARM
ARM#Tyro.csv,0,-95.788,37.068,14.0,,,,,,ARM
ARM#Vici.csv,0,-99.134,36.061,14.0,,,,,,ARM
ARM#Waukomis.csv,0,-97.928,36.311,14.0,,,,,,ARM
AWDN#Ainsworth.csv,0,-99.49,42.33,25.0,,,,,,AWDN
AWDN#AllianceWest.csv,0,-103.08,42.01,7.0,,,,,,AWDN
AWDN#Arthur.csv,0,-101.31,41.39,25.0,,,,,,AWDN
AWDN#Barta.csv,0,-99.39,42.14,25.0,,,,,,AWDN
AWDN#Beatrice.csv,0,-96.56,40.18,25.0,,,,,,AWDN
AWDN#BruleNorthTable.csv,0,-101.59,41.09,25.0,,,,,,AWDN
AWDN#Brunswick.csv,0,-97.55,42.21,25.0,,,,,,AWDN
AWDN#CedarPoint.csv,0,-101.38,41.12,7.0,,,,,,AWDN
AWDN#CentralCity.csv,0,-97.58,41.09,25.0,,,,,,AWDN
AWDN#Champion.csv,0,-101.43,40.24,25.0,,,,,,AWDN
AWDN#Cozad.csv,0,-99.57,40.58,25.0,,,,,,AWDN
AWDN#Curtisunsta.csv,0,-100.3,40.38,25.0,,,,,,AWDN
AWDN#Dickens.csv,0,-100.59,40.57,25.0,,,,,,AWDN
AWDN#Elgin.csv,0,-98.11,41.56,25.0,,,,,,AWDN
AWDN#Gordon.csv,0,-102.1,42.44,25.0,,,,,,AWDN
AWDN#Gothenburg.csv,0,-100.11,40.57,25.0,,,,,,AWDN
AWDN#GrandIsland.csv,0,-98.3,40.53,25.0,,,,,,AWDN
AWDN#Gudmundsens.csv,0,-101.26,42.04,25.0,,,,,,AWDN
AWDN#Halsey.csv,0,-100.09,41.54,25.0,,,,,,AWDN
AWDN#HigginsRanch.csv,0,-99.15,42.5,25.0,,,,,,AWDN
AWDN#Holdrege.csv,0,-99.22,40.2,25.0,,,,,,AWDN
AWDN#Holdrege4N.csv,0,-99.21,40.3,25.0,,,,,,AWDN
AWDN#IndianCaveStPark.csv,0,-95.37,40.17,25.0,,,,,,AWDN
AWDN#Kearney.csv,0,-99.01,40.43,25.0,,,,,,AWDN
AWDN#Lexington.csv,0,-99.44,40.46,25.0,,,,,,AWDN
AWDN#Lincoln82E20S.csv,0,-96.36,40.47,25.0,,,,,,AWDN
AWDN#McCook.csv,0,-100.35,40.14,25.0,,,,,,AWDN
AWDN#Mead.csv,0,-96.29,41.09,25.0,,,,,,AWDN
AWDN#MeadAgrofarm.csv,0,-96.24,41.09,25.0,,,,,,AWDN
AWDN#Merna.csv,0,-99.46,41.27,25.0,,,,,,AWDN
AWDN#Merritt.csv,0,-100.54,42.27,25.0,,,,,,AWDN
AWDN#Minden.csv,0,-99.03,40.31,25.0,,,,,,AWDN
AWDN#MitchellFarms.csv,0,-103.42,41.56,7.0,,,,,,AWDN
AWDN#Monroe.csv,0,-97.31,41.23,25.0,,,,,,AWDN
AWDN#NebraskaCity.csv,0,-95.48,40.32,25.0,,,,,,AWDN
AWDN#NebraskaCity2N.csv,0,-95.53,40.42,25.0,,,,,,AWDN
AWDN#Newport.csv,0,-99.23,42.35,25.0,,,,,,AWDN
AWDN#NorthPlatte.csv,0,-100.46,41.05,25.0,,,,,,AWDN
AWDN#ONeill.csv,0,-98.45,42.28,25.0,,,,,,AWDN
AWDN#Ord.csv,0,-98.56,41.37,25.0,,,,,,AWDN
AWDN#RedCloud.csv,0,-98.17,40.05,25.0,,,,,,AWDN
AWDN#Scottsbluff.csv,0,-103.4,41.53,7.0,,,,,,AWDN
AWDN#Shelton.csv,0,-98.45,40.44,25.0,,,,,,AWDN
AWDN#Sidney.csv,0,-103.01,41.13,7.0,,,,,,AWDN
AWDN#Smithfield.csv,0,-99.4,40.35,25.0,,,,,,AWDN
AWDN#Sparks.csv,0,-100.12,42.59,25.0,,,,,,AWDN
AWDN#WestPoint.csv,0,-96.44,41.51,25.0,,,,,,AWDN
AWDN#York.csv,0,-97.37,40.52,25.0,,,,,,AWDN
BIEBRZA_S-1#grassland-soil-1.csv,0,22.98104,53.63502,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-2.csv,0,22.98128,53.63398,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-3.csv,0,22.98151,53.63294,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-4.csv,0,22.98174,53.6319,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-5.csv,0,22.98197,53.63086,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-6.csv,0,22.9793,53.63489,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-7.csv,0,22.97952,53.63384,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-8.csv,0,22.97976,53.6328,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#grassland-soil-9.csv,0,22.98,53.63176,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-11.csv,0,22.87763,53.60373,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-12.csv,0,22.87979,53.60449,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-13.csv,0,22.88196,53.60526,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-14.csv,0,22.87634,53.60501,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-15.csv,0,22.8785,53.60578,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-16.csv,0,22.88066,53.60655,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-17.csv,0,22.87504,53.6063,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-18.csv,0,22.87721,53.60707,26.0,,,,,,BIEBRZA_S-1
BIEBRZA_S-1#marshland-soil-19.csv,0,22.87937,53.60784,26.0,,,,,,BIEBRZA_S-1
CALABRIA#ChiaravalleCentrale.csv,0,16.409,38.671,9.0,,,,,,CALABRIA
CALABRIA#Fitterizzi.csv,0,16.141,39.52,8.0,,,,,,CALABRIA
CALABRIA#Mongrassano.csv,0,16.216,39.534,8.0,,,,,,CALABRIA
CALABRIA#Torano.csv,0,16.211,39.5,8.0,,,,,,CALABRIA
CAMPANIA#Bagnoli.csv,0,15.073,40.828,9.0,,,,,,CAMPANIA
CAMPANIA#Melizzano.csv,0,14.5,41.169,8.0,,,,,,CAMPANIA
COSMOS#ARM-1.csv,0,-97.4878,36.6054,14.0,,,,,,COSMOS
COSMOS#AustinCary.csv,0,-82.2188,29.7381,14.0,,,,,,COSMOS
COSMOS#Baldry.csv,1,148.526,-32.871,7.0,1.0,,,,,COSMOS
COSMOS#Barrow-ARM.csv,0,-156.6287,71.3298,29.0,,,,,,COSMOS
COSMOS#BaynesfieldProbe1.csv,0,30.3375,-29.7594,12.0,,,,,,COSMOS
COSMOS#Beltsville.csv,0,-76.8462,39.0295,14.0,,,,,,COSMOS
COSMOS#Biosphere.csv,0,-110.851,32.5795,7.0,,,,,,COSMOS
COSMOS#Bondville.csv,0,-88.2904,40.0062,25.0,,,,,,COSMOS
COSMOS#Brookings.csv,0,-96.8362,44.3453,21.0,,,,,,COSMOS
COSMOS#Bushland.csv,0,-102.0955,35.1882,7.0,,,,,,COSMOS
COSMOS#CathedralPeakC6.csv,1,29.2517,-28.9932,12.0,1.0,,,,,COSMOS
COSMOS#CCPasture.csv,0,-97.947,41.2688,25.0,,,,,,COSMOS
COSMOS#ChestnutRidgeNOAA.csv,0,-84.3324,35.9311,14.0,,,,,,COSMOS
COSMOS#CoastalSageUCI.csv,1,-117.6961,33.7342,8.0,2.0,,,,,COSMOS
COSMOS#Coweeta.csv,0,-83.437,35.0662,15.0,,,,,,COSMOS
COSMOS#CPTECINPE.csv,1,-44.99813,-22.6798,11.0,2.0,,,,,COSMOS
COSMOS#Daly.csv,1,131.3881,-14.1592,3.0,2.0,,,,,COSMOS
