,feature_list,importances,indices,std
0,dem,0.088418798,12,0.004359618
1,slope,0.017674581,0,0.002097103
2,lon,0.041169589,5,0.004178184
3,lat,0.054687052,3,0.005558694
4,sand#layer4,0.028603389,8,0.003447161
5,clay#layer4,0.055720981,2,0.004845118
6,bd#layer4,0.02192068,4,0.003802725
7,fca#layer4,0.027705835,7,0.00328399
8,era5sm#layer4,0.04156709,6,0.002135882
9,era5st#layer4,0.020684526,9,0.001083771
10,NDVI,0.017955481,10,0.000988218
11,EVI,0.015720657,1,0.000858391
12,sml3_p,0.539643253,13,0.002214694
13,era5sm#layer3,0.016577809,11,0.001955087
14,era5st#layer3,0.01195028,14,0.000896278
15,static,0.335900904,41,0.031572593
16,VI,0.033676138,11,0.00184661
